UserID,Name,Age,Gender,City,AccountType,AccountBalance,CreditScore,LastTransactionDate,MonthlyIncome,LoanStatus,CustomerSince,NumTransactions,AvgTransactionValue,HasCreditCard,ActiveSubscriptions,DigitalWalletUsage,HasInvestmentAccount
89311,Matthew Lopez,19,Other,Port Cory,Fixed Deposit,56495.1,850,2024-04-01,5187.96,Yes,2021,449,810.77,Yes,4,Low,No
93698,Cynthia Hall,43,Male,West Morganberg,Current,39202.64,767,2024-04-12,4337.78,Yes,2019,84,940.53,No,2,Medium,No
61063,Austin Johnson,34,Other,East Savannah,Business,46457.57,770,2024-07-25,8842.69,No,2021,124,681.16,No,5,Medium,No
33761,Shelley Jones,46,Other,South Jamesfurt,Business,36511.41,753,2024-03-28,2962.11,Yes,2010,449,224.04,Yes,0,Low,No
67826,Andrew Burke,60,Male,Tiffanybury,Savings,55054.33,818,2024-07-01,1214.09,No,2012,1,571.36,Yes,4,High,Yes
73670,William Hall,47,Other,Davisside,Current,45905.06,460,2024-01-06,1736.36,No,2015,97,814.25,No,1,Low,Yes
49881,Rhonda Webb,42,Female,Keithshire,Business,39317.3,313,2024-02-29,9959.02,No,2007,58,732.21,No,3,High,Yes
80719,Sean Castillo,39,Male,West Craigtown,Business,48937.55,460,2024-02-02,9670.37,Yes,2018,234,141.4,No,2,High,Yes
56313,Susan Stone,65,Female,North Marcoburgh,Business,58244.46,578,2024-08-23,6270.79,Yes,2016,101,453.03,Yes,3,Medium,No
69139,Stanley Fisher,62,Male,Port Jessica,Fixed Deposit,57296.21,498,2024-10-27,8814.18,No,2014,208,841.81,Yes,0,Low,Yes
74643,Autumn Hudson,47,Other,Wilsonton,Business,95659.49,583,2024-05-04,6119.38,No,2006,233,288.87,Yes,2,Low,No
87181,Cynthia Williams,55,Male,Joshuabury,Business,86673.57,766,2024-10-24,5006.72,Yes,2018,357,556.93,No,2,Low,Yes
60123,Julie Allen,44,Female,Garnerhaven,Savings,54306.02,588,2024-02-06,4175.55,No,2022,483,800.79,Yes,0,Medium,Yes
62299,Jay Meadows,37,Male,South Taramouth,Current,79365.98,595,2024-04-03,4028.75,No,2012,333,673.48,Yes,5,Medium,Yes
58053,Mr. Gregory Best,53,Male,Joshuachester,Business,13670.34,616,2024-03-22,6884.05,No,2004,356,132.83,Yes,5,Medium,No
82720,Stephanie Green,29,Other,Evansburgh,Business,46438.71,831,2024-08-08,5642.13,Yes,2011,60,679.89,Yes,1,Medium,No
66793,Richard Miller,19,Other,New Jasonport,Current,42575.34,570,2024-11-05,3688.07,No,2001,248,540.37,No,4,Low,No
18029,Jillian Kelly,47,Male,Elizabethmouth,Business,14591.81,814,2024-03-03,5777.23,Yes,2017,198,323.32,No,0,Medium,Yes
91125,Megan Johnson,31,Other,Cynthiamouth,Fixed Deposit,10184.5,380,2024-04-14,8155.17,Yes,2007,217,897.68,Yes,0,Low,Yes
70088,Robin Williams,20,Female,West Kimberlyland,Fixed Deposit,42319.11,704,2024-05-17,8116.61,Yes,2011,346,938.38,Yes,2,High,Yes
31340,April Walker,30,Female,West Vincentshire,Savings,84544.77,793,2024-01-17,2065.59,No,2000,429,908.5,No,0,Low,Yes
56454,Laurie Nichols,32,Female,West Daniel,Business,13778.07,553,2024-03-30,9627.95,Yes,2000,163,538.29,No,4,Low,Yes
17968,Jason Estrada,70,Female,North Brianfurt,Current,82958.82,602,2024-07-25,8226.31,No,2021,122,427.91,Yes,0,High,No
58368,Katelyn Crawford,54,Other,East Elizabeth,Business,29898.69,717,2024-05-19,6006.13,Yes,2008,117,536.81,No,0,High,Yes
88176,Marie Carpenter,50,Other,Justinburgh,Current,81438.0,406,2024-01-17,5042.98,Yes,2021,220,96.43,Yes,4,High,Yes
94097,Lydia Rodriguez,35,Male,Nathanielbury,Savings,43962.97,565,2024-05-11,3409.13,No,2012,13,171.85,Yes,0,Medium,No
97829,Jamie Reeves,64,Other,New Jessica,Savings,50188.03,693,2024-01-26,6102.95,Yes,2011,125,552.22,No,1,High,No
91775,Rebecca Schroeder,43,Male,Rebeccahaven,Fixed Deposit,53719.88,506,2024-09-23,2020.75,Yes,2016,139,229.03,No,0,Low,No
18253,Cynthia Gould,40,Female,Brayville,Savings,46385.52,438,2024-04-30,8351.58,Yes,2003,368,614.88,Yes,1,High,Yes
81778,Peter Miller,64,Female,Allisonmouth,Business,83398.17,485,2024-09-16,4459.32,Yes,2000,186,981.7,No,5,Low,Yes
71419,Carol Wagner,37,Male,Sergiotown,Fixed Deposit,86723.47,599,2024-07-13,3517.09,No,2013,76,101.65,Yes,3,Low,Yes
29276,Angela Young,64,Female,Nancyburgh,Savings,85884.16,686,2024-08-30,9957.63,Yes,2004,377,11.49,No,1,Medium,Yes
63093,Nicholas Roberts,68,Female,Williamsstad,Fixed Deposit,21907.49,721,2024-05-01,6286.31,Yes,2021,20,307.88,No,0,Medium,No
36398,Sarah Schaefer,28,Female,New Paulaborough,Fixed Deposit,7696.84,641,2024-01-18,9286.17,No,2008,389,405.06,Yes,5,Low,No
40803,Alicia Terry,47,Female,South Fernandoland,Savings,33064.4,648,2024-04-14,1864.6,No,2021,266,586.12,No,3,Medium,No
91836,Diane Parker,52,Other,Jamiechester,Business,93728.45,322,2024-02-28,9901.72,Yes,2010,66,119.45,Yes,0,High,No
15842,Veronica Hall,19,Male,North James,Current,59393.28,806,2024-02-06,8230.2,Yes,2009,349,78.15,No,4,High,Yes
50595,Patrick Jones,70,Male,North Tyler,Savings,9834.81,465,2024-02-23,6484.56,No,2018,267,137.4,Yes,0,Medium,Yes
84215,Candace Salazar,56,Female,New Elizabethton,Savings,99511.03,355,2024-02-11,9383.85,No,2023,263,496.89,Yes,0,Low,No
60528,Ellen Shannon,41,Male,Burkeside,Business,8808.84,345,2024-05-23,3467.79,No,2001,274,74.45,No,0,Low,No
30712,Tara Parker,20,Female,Blevinston,Fixed Deposit,18910.77,623,2024-04-03,1546.43,No,2006,164,238.09,Yes,5,High,Yes
93581,Dustin Clark,53,Other,New Christineside,Business,30985.12,516,2024-05-29,9658.13,Yes,2009,233,186.45,Yes,3,Medium,Yes
52990,Dwayne Grant,18,Other,Port Christophermouth,Business,14500.35,591,2024-04-16,2792.02,No,2014,433,677.36,No,5,Low,No
